miRNA	PositionUTR	seedmatch	context++score	context++scorepercentile	weightedcontext++score	conservedbranchlength	Pct
hsa-miR-5587-5p	899-905	7mer-m8	-0.20	 90	-0.20	0.000	N/A
hsa-miR-490-3p	903-909	7mer-m8	-0.19	 92	-0.19	1.733	< 0.1
hsa-miR-570-3p	907-913	7mer-1A	-0.06	 68	-0.06	0.000	N/A
hsa-miR-3140-5p	910-916	7mer-1A	-0.08	 77	-0.08	0.000	N/A
hsa-miR-378a-5p	911-917	7mer-1A	-0.08	 82	-0.08	0.223	N/A
hsa-miR-1200	911-917	7mer-1A	-0.11	 78	-0.11	0.000	N/A
hsa-miR-7152-5p	912-918	7mer-1A	-0.05	 73	-0.05	0.000	N/A
hsa-miR-3074-5p	912-918	7mer-1A	-0.01	 46	-0.01	0.223	N/A
hsa-miR-3124-3p	913-919	7mer-m8	-0.02	 37	-0.02	0.223	N/A
hsa-miR-501-5p	916-922	7mer-m8	-0.10	 78	-0.10	0.031	N/A
hsa-miR-500a-5p	917-923	7mer-m8	-0.13	 90	-0.13	0.187	N/A
hsa-miR-6856-5p	929-935	7mer-1A	-0.09	 78	-0.09	0.000	N/A
hsa-miR-6758-5p	929-935	7mer-1A	-0.07	 72	-0.07	0.000	N/A
hsa-miR-526a	931-938	8mer	-0.30	 97	-0.30	0.043	N/A
hsa-miR-520c-5p	931-938	8mer	-0.30	 97	-0.30	0.043	N/A
hsa-miR-518f-5p	931-938	8mer	-0.30	 97	-0.30	0.043	N/A
hsa-miR-518d-5p	931-938	8mer	-0.30	 97	-0.30	0.043	N/A
hsa-miR-519a-5p	931-938	8mer	-0.29	 96	-0.29	0.043	N/A
hsa-miR-519b-5p	931-938	8mer	-0.29	 96	-0.29	0.043	N/A
hsa-miR-518e-5p	931-938	8mer	-0.29	 96	-0.29	0.043	N/A
hsa-miR-519c-5p	931-938	8mer	-0.29	 96	-0.29	0.043	N/A
hsa-miR-523-5p	931-938	8mer	-0.29	 96	-0.29	0.043	N/A
hsa-miR-522-5p	931-938	8mer	-0.29	 96	-0.29	0.043	N/A
hsa-miR-520g-5p	931-937	7mer-1A	-0.15	 81	-0.15	0.016	N/A
hsa-miR-4777-5p	932-938	7mer-1A	-0.02	 50	-0.02	0.000	N/A
hsa-miR-1250-3p	936-942	7mer-m8	-0.02	 67	-0.02	0.000	N/A
hsa-miR-1324	941-947	7mer-1A	-0.15	 88	-0.15	0.016	N/A
hsa-miR-3942-3p	943-949	7mer-1A	-0.01	 34	-0.01	0.000	N/A
hsa-miR-501-5p	947-953	7mer-m8	-0.09	 78	-0.09	0.276	N/A
hsa-miR-500a-5p	948-954	7mer-m8	-0.13	 90	-0.13	0.425	N/A
hsa-miR-4668-3p	950-957	8mer	-0.11	 97	-0.11	0.000	N/A
hsa-miR-3163	952-958	7mer-m8	-0.02	 65	-0.02	0.000	N/A
hsa-miR-2115-3p	960-966	7mer-m8	-0.06	 66	-0.06	0.000	N/A
hsa-miR-6856-3p	971-977	7mer-1A	-0.14	 81	-0.14	0.031	N/A
hsa-miR-539-3p	974-981	8mer	-0.31	 95	-0.31	0.250	N/A
hsa-miR-485-3p	974-981	8mer	-0.23	 95	-0.23	0.250	N/A
hsa-miR-335-3p	977-983	7mer-m8	-0.02	 61	-0.02	0.239	N/A
hsa-miR-503-3p	982-988	7mer-m8	-0.16	 83	-0.16	0.000	N/A
hsa-miR-4779	986-992	7mer-m8	-0.26	 95	-0.26	0.000	N/A
hsa-miR-6858-5p	988-995	8mer	-0.36	 99	-0.36	0.000	N/A
hsa-miR-4689	988-995	8mer	-0.43	 99	-0.43	0.000	N/A
hsa-miR-3150b-3p	988-994	7mer-1A	-0.11	 73	-0.11	0.000	N/A
hsa-miR-4784	988-994	7mer-1A	-0.11	 72	-0.11	0.000	N/A
hsa-miR-3915	989-995	7mer-1A	-0.11	 75	-0.11	0.000	N/A
hsa-miR-1224-5p	989-995	7mer-1A	-0.02	 58	-0.02	1.496	N/A
hsa-miR-1304-5p	990-996	7mer-1A	-0.08	 70	-0.08	0.000	N/A
hsa-miR-6792-5p	1002-1008	7mer-1A	-0.09	 84	-0.09	0.000	N/A
hsa-miR-4503	1002-1008	7mer-m8	-0.15	 81	-0.15	0.000	N/A
hsa-miR-4703-3p	1007-1013	7mer-1A	-0.21	 89	-0.21	0.000	N/A
hsa-miR-7852-3p	1008-1015	8mer	-0.36	 98	-0.36	0.260	N/A
hsa-miR-3668	1009-1015	7mer-1A	-0.18	 86	-0.18	0.000	N/A
hsa-miR-216b-3p	1023-1029	7mer-m8	-0.13	 88	-0.13	0.000	N/A
hsa-miR-603	1024-1030	7mer-m8	-0.13	 93	-0.13	0.243	N/A
hsa-miR-642a-3p	1026-1032	7mer-1A	-0.16	 90	-0.16	0.000	N/A
hsa-miR-642b-3p	1026-1032	7mer-1A	-0.16	 90	-0.16	0.000	N/A
hsa-miR-514b-3p	1027-1033	7mer-m8	-0.28	 97	-0.28	0.043	N/A
hsa-miR-514a-3p	1027-1033	7mer-m8	-0.28	 96	-0.28	0.043	N/A
hsa-miR-3121-3p	1037-1043	7mer-m8	-0.09	 90	-0.09	0.016	N/A
hsa-miR-4666a-3p	1043-1049	7mer-1A	-0.11	 94	-0.11	0.000	N/A
hsa-miR-300	1043-1049	7mer-1A	-0.07	 89	-0.07	2.921	N/A
hsa-let-7f-1-3p	1043-1049	7mer-m8	-0.11	 87	-0.11	0.943	N/A
hsa-miR-381-3p	1043-1049	7mer-1A	-0.06	 87	-0.06	2.921	N/A
hsa-miR-98-3p	1043-1049	7mer-m8	-0.10	 86	-0.10	0.943	N/A
hsa-let-7b-3p	1043-1049	7mer-m8	-0.08	 82	-0.08	0.943	N/A
hsa-let-7a-3p	1043-1049	7mer-m8	-0.08	 81	-0.08	0.943	N/A
hsa-miR-1277-5p	1046-1052	7mer-1A	-0.02	 53	-0.02	0.000	N/A
hsa-miR-889-3p	1047-1053	7mer-1A	-0.01	 47	-0.01	0.164	N/A
hsa-miR-1179	1053-1059	7mer-1A	-0.09	 82	-0.09	0.187	N/A
hsa-miR-190a-3p	1058-1064	7mer-1A	-0.01	 27	-0.01	0.500	N/A
hsa-miR-4528	1060-1066	7mer-m8	-0.02	 35	-0.02	0.000	N/A
hsa-miR-4646-3p	1067-1074	8mer	-0.36	 97	-0.36	0.000	N/A
hsa-miR-4433b-5p	1067-1073	7mer-1A	-0.17	 81	-0.17	0.000	N/A
hsa-miR-2355-3p	1068-1074	7mer-1A	-0.14	 75	-0.13	0.159	N/A
hsa-miR-1277-5p	1077-1083	7mer-1A	-0.01	 40	-0.01	0.000	N/A
hsa-miR-5692b	1078-1085	8mer	-0.04	 86	-0.04	0.000	N/A
hsa-miR-5692c	1078-1085	8mer	-0.04	 86	-0.04	0.000	N/A
hsa-miR-369-3p	1079-1085	7mer-1A	-0.01	 53	-0.01	2.1000	N/A
hsa-miR-4672	1086-1092	7mer-m8	-0.17	 92	-0.17	0.000	N/A
hsa-miR-6768-5p	1086-1092	7mer-1A	-0.08	 80	-0.08	0.000	N/A
hsa-miR-5590-5p	1091-1097	7mer-m8	-0.18	 89	-0.17	0.000	N/A
hsa-miR-103a-2-5p	1103-1109	7mer-m8	-0.25	 95	-0.25	0.276	N/A
hsa-miR-5692a	1116-1122	7mer-m8	-0.02	 73	-0.02	0.000	N/A
hsa-miR-3689e	1125-1131	7mer-1A	-0.12	 76	-0.11	0.000	N/A
hsa-miR-3689f	1125-1131	7mer-1A	-0.12	 76	-0.11	0.000	N/A
hsa-miR-3689b-5p	1125-1131	7mer-1A	-0.12	 76	-0.11	0.000	N/A
hsa-miR-3689a-5p	1125-1131	7mer-1A	-0.12	 76	-0.11	0.000	N/A
hsa-miR-4679	1126-1132	7mer-m8	-0.26	 97	-0.25	0.575	N/A
hsa-miR-4693-5p	1128-1135	8mer	-0.41	 98	-0.40	0.000	N/A
hsa-miR-4318	1128-1134	7mer-1A	-0.19	 91	-0.18	0.000	N/A
hsa-miR-892a	1128-1134	7mer-1A	-0.15	 88	-0.15	0.327	N/A
hsa-miR-4282	1134-1140	7mer-1A	-0.01	 49	-0.01	0.000	N/A
hsa-miR-466	1143-1150	8mer	-0.35	 98	-0.34	0.000	N/A
hsa-miR-4789-3p	1143-1149	7mer-1A	-0.16	 94	-0.16	0.000	N/A
hsa-miR-4643	1143-1149	7mer-1A	-0.11	 93	-0.11	0.000	N/A
hsa-miR-3941	1144-1150	7mer-1A	-0.08	 80	-0.08	0.223	N/A
hsa-miR-4672	1144-1150	7mer-1A	-0.08	 76	-0.08	0.000	N/A
hsa-miR-2681-5p	1147-1153	7mer-1A	-0.01	 53	-0.01	0.000	N/A
hsa-miR-4775	1150-1157	8mer	-0.05	 93	-0.05	0.000	N/A
hsa-miR-590-3p	1150-1156	7mer-1A	-0.01	 34	-0.01	0.327	N/A
hsa-miR-29b-1-5p	1157-1163	7mer-m8	-0.17	 92	-0.16	0.469	N/A
hsa-miR-653-3p	1160-1166	7mer-m8	-0.24	 96	-0.23	0.276	N/A
hsa-miR-4433a-3p	1166-1172	7mer-m8	-0.22	 96	-0.21	0.016	N/A
hsa-miR-548j-3p	1191-1197	7mer-m8	-0.04	 91	-0.03	0.031	N/A
hsa-miR-548aj-3p	1191-1197	7mer-m8	-0.04	 91	-0.04	0.031	N/A
hsa-miR-548aq-3p	1191-1197	7mer-m8	-0.02	 67	-0.02	0.031	N/A
hsa-miR-548ae-3p	1191-1197	7mer-m8	-0.02	 67	-0.02	0.031	N/A
hsa-miR-548ah-3p	1191-1197	7mer-m8	-0.02	 67	-0.02	0.031	N/A
hsa-miR-548x-3p	1191-1197	7mer-m8	-0.02	 67	-0.02	0.031	N/A
hsa-miR-548am-3p	1191-1197	7mer-m8	-0.02	 67	-0.02	0.031	N/A
hsa-miR-7157-5p	1203-1209	7mer-1A	-0.07	 76	-0.06	0.000	N/A
hsa-miR-4310	1203-1209	7mer-1A	-0.03	 72	-0.03	0.000	N/A
hsa-miR-4291	1204-1210	7mer-1A	-0.11	 77	-0.10	0.223	N/A
hsa-miR-506-5p	1206-1212	7mer-1A	-0.08	 79	-0.08	0.031	N/A
hsa-miR-892c-5p	1206-1212	7mer-1A	-0.08	 78	-0.07	0.287	N/A
hsa-miR-126-5p	1209-1215	7mer-1A	-0.05	 82	-0.05	0.217	N/A
hsa-miR-4795-3p	1209-1216	8mer	-0.03	 63	-0.02	0.000	N/A
hsa-miR-126-5p	1211-1217	7mer-m8	-0.02	 51	-0.01	0.217	N/A
hsa-miR-5683	1216-1222	7mer-1A	-0.10	 82	-0.07	0.000	N/A
hsa-miR-606	1220-1226	7mer-1A	-0.12	 82	-0.08	0.000	N/A
hsa-miR-552-5p	1223-1229	7mer-1A	-0.01	 47	-0.01	0.000	N/A
hsa-miR-6890-3p	1251-1257	7mer-1A	-0.01	 43	-0.01	0.000	N/A
hsa-miR-4420	1252-1258	7mer-1A	-0.07	 82	-0.04	0.326	N/A
hsa-miR-181b-3p	1252-1258	7mer-1A	-0.09	 78	-0.06	0.326	N/A
hsa-miR-181b-2-3p	1252-1258	7mer-1A	-0.09	 78	-0.06	0.326	N/A
hsa-miR-653-3p	1252-1258	7mer-1A	-0.04	 67	-0.03	0.243	N/A
hsa-miR-6719-3p	1259-1266	8mer	-0.22	 95	-0.14	0.000	N/A
hsa-miR-4526	1260-1266	7mer-1A	-0.11	 88	-0.07	0.170	N/A
hsa-miR-6730-3p	1260-1266	7mer-1A	-0.13	 87	-0.09	0.000	N/A
hsa-miR-3660	1260-1266	7mer-1A	-0.14	 84	-0.09	0.170	N/A
hsa-miR-622	1263-1269	7mer-m8	-0.23	 94	-0.15	0.250	N/A
hsa-miR-582-5p	1266-1272	7mer-1A	-0.06	 70	-0.04	2.813	N/A
hsa-miR-329-5p	1271-1277	7mer-m8	-0.05	 82	-0.04	0.031	N/A
hsa-miR-624-3p	1274-1280	7mer-m8	-0.15	 88	-0.10	0.016	N/A
hsa-miR-4457	1275-1281	7mer-m8	-0.19	 92	-0.12	0.000	N/A
hsa-miR-4801	1276-1282	7mer-m8	-0.07	 82	-0.05	0.000	N/A
hsa-miR-4731-3p	1276-1282	7mer-m8	-0.05	 77	-0.03	0.000	N/A
hsa-miR-3692-3p	1280-1287	8mer	-0.16	 89	-0.10	0.031	N/A
hsa-miR-548at-5p	1292-1298	7mer-m8	-0.12	 94	-0.08	0.000	N/A
hsa-miR-548n	1294-1300	7mer-1A	-0.08	 91	-0.05	0.043	N/A
hsa-miR-548t-5p	1294-1300	7mer-1A	-0.07	 90	-0.05	0.223	N/A
hsa-miR-548az-5p	1294-1300	7mer-1A	-0.07	 90	-0.05	0.223	N/A
hsa-miR-3646	1305-1312	8mer	-0.11	 96	-0.07	0.000	N/A
hsa-miR-1252-3p	1306-1312	7mer-1A	-0.07	 90	-0.05	0.000	N/A
hsa-miR-545-3p	1315-1321	7mer-m8	-0.21	 95	-0.14	0.043	N/A
hsa-miR-3120-3p	1316-1322	7mer-m8	-0.17	 91	-0.11	0.326	N/A
hsa-miR-4773	1319-1325	7mer-m8	-0.09	 84	-0.06	0.000	N/A
hsa-miR-589-3p	1320-1326	7mer-m8	-0.08	 74	-0.05	0.223	N/A
hsa-miR-5087	1334-1340	7mer-1A	-0.01	 28	-0.01	0.000	N/A
hsa-miR-1273g-5p	1336-1342	7mer-1A	-0.11	 78	-0.07	0.000	N/A
hsa-miR-203a-5p	1336-1342	7mer-1A	-0.12	 75	-0.08	0.260	N/A
hsa-miR-147a	1338-1344	7mer-m8	-0.20	 97	-0.13	0.187	N/A
hsa-miR-3911	1338-1344	7mer-1A	-0.23	 91	-0.15	0.223	N/A
hsa-miR-644a	1338-1344	7mer-1A	-0.16	 82	-0.10	0.031	N/A
hsa-miR-4798-5p	1349-1355	7mer-1A	-0.32	 84	-0.20	0.000	N/A
hsa-miR-192-3p	1355-1361	7mer-m8	-0.13	 85	-0.09	0.223	N/A
hsa-miR-4699-3p	1361-1367	7mer-m8	-0.02	 49	-0.01	0.000	N/A
hsa-miR-543	1365-1371	7mer-1A	-0.01	 53	-0.01	2.881	N/A
hsa-miR-3143	1365-1371	7mer-m8	-0.02	 43	-0.01	0.000	N/A
hsa-miR-522-3p	1373-1379	7mer-1A	-0.04	 72	-0.02	0.043	N/A
hsa-miR-4694-3p	1373-1379	7mer-1A	-0.03	 64	-0.02	0.000	N/A
hsa-miR-224-3p	1373-1379	7mer-1A	-0.01	 41	-0.01	0.043	N/A
hsa-miR-3607-3p	1376-1382	7mer-m8	-0.02	 46	-0.01	0.000	N/A
hsa-miR-1537-5p	1377-1384	8mer	-0.27	 90	-0.17	0.000	N/A
hsa-miR-4999-5p	1378-1384	7mer-1A	-0.15	 79	-0.10	0.000	N/A
hsa-miR-4718	1378-1384	7mer-1A	-0.12	 74	-0.08	0.000	N/A
hsa-miR-1256	1383-1390	8mer	-0.27	 94	-0.18	0.170	N/A
hsa-miR-4642	1385-1391	7mer-1A	-0.09	 73	-0.06	0.000	N/A
hsa-miR-182-5p	1386-1392	7mer-1A	-0.15	 75	-0.10	3.199	0.31
hsa-miR-1271-5p	1386-1392	7mer-1A	-0.09	 72	-0.06	3.199	0.31
hsa-miR-96-5p	1386-1392	7mer-1A	-0.07	 68	-0.05	3.199	0.31
hsa-miR-5002-5p	1388-1394	7mer-1A	-0.03	 57	-0.02	0.000	N/A
hsa-miR-136-5p	1394-1400	7mer-1A	-0.20	 93	-0.13	1.739	N/A
hsa-miR-519e-5p	1395-1401	7mer-1A	-0.15	 89	-0.10	0.031	N/A
hsa-miR-515-5p	1395-1401	7mer-1A	-0.15	 88	-0.10	0.031	N/A
hsa-miR-629-3p	1396-1402	7mer-1A	-0.01	 45	-0.01	0.000	N/A
hsa-miR-1272	1403-1409	7mer-1A	-0.15	 93	-0.10	0.016	N/A
hsa-miR-1322	1403-1409	7mer-1A	-0.08	 85	-0.05	0.016	N/A
hsa-miR-4795-3p	1407-1413	7mer-1A	-0.03	 63	-0.02	0.000	N/A
hsa-miR-548e-5p	1421-1427	7mer-m8	-0.14	 95	-0.09	0.000	N/A
hsa-miR-124-3p.2	20-27	8mer	-0.56	 99	-0.56	4.901	0.84
hsa-miR-506-3p	20-27	8mer	-0.54	 99	-0.54	4.901	0.84
hsa-miR-124-3p.1	20-26	7mer-1A	-0.16	 87	-0.16	4.901	0.84
hsa-miR-142-3p.1	135-141	7mer-1A	-0.17	 79	-0.16	4.782	0.60
hsa-miR-328-3p	154-161	8mer	-0.47	 98	-0.45	2.994	N/A
hsa-miR-30c-5p	460-466	7mer-1A	-0.18	 82	-0.17	4.887	0.78
hsa-miR-30b-5p	460-466	7mer-1A	-0.18	 82	-0.17	4.887	0.78
hsa-miR-30a-5p	460-466	7mer-1A	-0.17	 81	-0.16	4.887	0.78
hsa-miR-30e-5p	460-466	7mer-1A	-0.17	 80	-0.16	4.887	0.78
hsa-miR-30d-5p	460-466	7mer-1A	-0.16	 79	-0.15	4.887	0.78
hsa-miR-204-5p	480-487	8mer	-0.17	 90	-0.16	4.887	0.46
hsa-miR-211-5p	480-487	8mer	-0.17	 89	-0.16	4.887	0.46
hsa-miR-124-3p.1	491-497	7mer-m8	-0.22	 91	-0.21	4.563	0.86
hsa-miR-22-3p	611-618	8mer	-0.20	 86	-0.19	2.653	0.42
hsa-miR-377-3p	663-670	8mer	-0.14	 78	-0.12	2.636	N/A
hsa-miR-183-5p.1	1287-1294	8mer	-0.28	 95	-0.24	3.945	0.72
hsa-miR-18a-5p	1378-1385	8mer	-0.34	 97	-0.29	3.522	0.67
hsa-miR-4735-3p	1378-1385	8mer	-0.35	 97	-0.30	3.522	0.67
hsa-miR-18b-5p	1378-1385	8mer	-0.34	 97	-0.29	3.522	0.67
hsa-miR-211-5p	1577-1583	7mer-1A	-0.01	 26	-0.01	3.861	< 0.1
hsa-miR-204-5p	1577-1583	7mer-1A	-0.01	 26	-0.01	3.861	< 0.1
hsa-miR-129-1-3p	1582-1589	8mer	-0.21	 92	-0.18	4.086	0.60
hsa-miR-129-2-3p	1582-1589	8mer	-0.21	 92	-0.18	4.086	0.60
hsa-miR-320a	1593-1600	8mer	-0.03	 64	-0.03	2.885	N/A
hsa-miR-4429	1593-1600	8mer	-0.03	 64	-0.03	2.885	N/A
hsa-miR-320b	1593-1600	8mer	-0.03	 64	-0.03	2.885	N/A
hsa-miR-320c	1593-1600	8mer	-0.03	 64	-0.03	2.885	N/A
hsa-miR-320d	1593-1600	8mer	-0.03	 64	-0.03	2.885	N/A
hsa-miR-300	1632-1639	8mer	-0.03	 77	-0.03	2.715	N/A
hsa-miR-381-3p	1632-1639	8mer	-0.03	 76	-0.03	2.715	N/A
hsa-miR-410-3p	1687-1694	8mer	-0.03	 86	-0.03	2.838	N/A
hsa-miR-138-5p	2126-2132	7mer-1A	-0.20	 82	-0.17	4.179	0.63
hsa-miR-137	2129-2135	7mer-m8	-0.10	 63	-0.08	4.229	0.71
hsa-miR-142-3p.2	2172-2178	7mer-1A	-0.10	 76	-0.08	3.901	0.56
hsa-miR-181a-5p	2254-2260	7mer-m8	-0.17	 89	-0.11	3.362	0.44
hsa-miR-181d-5p	2254-2260	7mer-m8	-0.17	 89	-0.11	3.362	0.44
hsa-miR-181b-5p	2254-2260	7mer-m8	-0.17	 89	-0.11	3.362	0.44
hsa-miR-181c-5p	2254-2260	7mer-m8	-0.16	 88	-0.10	3.362	0.44
hsa-miR-4262	2254-2260	7mer-m8	-0.07	 83	-0.05	3.362	0.44
hsa-miR-200b-3p	2274-2280	7mer-m8	-0.11	 86	-0.07	3.294	0.43
hsa-miR-429	2274-2280	7mer-m8	-0.11	 86	-0.07	3.294	0.43
hsa-miR-200c-3p	2274-2280	7mer-m8	-0.11	 86	-0.07	3.294	0.43
hsa-miR-211-5p	2334-2341	8mer	-0.03	 57	-0.01	2.303	< 0.1
hsa-miR-204-5p	2334-2341	8mer	-0.03	 53	-0.01	2.303	< 0.1
hsa-miR-200a-3p	2424-2431	8mer	-0.10	 81	-0.03	2.293	0.21
hsa-miR-141-3p	2424-2431	8mer	-0.10	 80	-0.03	2.293	0.21
hsa-miR-374a-5p	3604-3610	7mer-m8	-0.02	 46	-0.01	2.1000	N/A
hsa-miR-374b-5p	3604-3610	7mer-m8	-0.02	 43	-0.01	2.1000	N/A
hsa-miR-144-3p	3608-3614	7mer-m8	-0.10	 81	-0.03	2.1000	0.32
hsa-miR-365a-3p	3619-3625	7mer-1A	-0.11	 79	-0.03	3.966	0.36
hsa-miR-365b-3p	3619-3625	7mer-1A	-0.11	 79	-0.03	3.966	0.36
hsa-miR-101-3p.2	3791-3797	7mer-1A	-0.09	 81	-0.02	3.919	0.29
hsa-miR-3714	20-26	7mer-1A	-0.16	 94	-0.16	0.000	N/A
hsa-miR-3910	20-26	7mer-1A	-0.16	 92	-0.16	0.000	N/A
hsa-miR-7856-5p	22-28	7mer-m8	-0.04	 84	-0.04	0.000	N/A
hsa-miR-4477b	22-28	7mer-1A	-0.11	 75	-0.11	0.000	N/A
hsa-miR-302d-5p	24-30	7mer-1A	-0.01	 50	-0.01	0.300	N/A
hsa-miR-302b-5p	24-30	7mer-1A	-0.01	 49	-0.01	0.300	N/A
hsa-miR-548e-5p	45-51	7mer-1A	-0.03	 72	-0.03	0.000	N/A
hsa-miR-95-5p	48-54	7mer-m8	-0.02	 22	-0.02	0.031	N/A
hsa-miR-338-5p	50-56	7mer-1A	-0.01	 35	-0.01	0.031	N/A
hsa-miR-4666a-3p	51-58	8mer	-0.19	 98	-0.19	0.000	N/A
hsa-miR-381-3p	52-58	7mer-1A	-0.04	 82	-0.04	0.271	N/A
hsa-miR-98-3p	52-59	8mer	-0.08	 81	-0.08	0.031	N/A
hsa-let-7b-3p	52-59	8mer	-0.07	 78	-0.07	0.031	N/A
hsa-let-7f-1-3p	52-59	8mer	-0.07	 77	-0.07	0.031	N/A
hsa-let-7a-3p	52-59	8mer	-0.07	 77	-0.07	0.031	N/A
hsa-miR-300	52-58	7mer-1A	-0.01	 51	-0.01	0.271	N/A
hsa-miR-1185-2-3p	53-59	7mer-1A	-0.05	 75	-0.05	0.000	N/A
hsa-let-7f-2-3p	53-59	7mer-1A	-0.05	 74	-0.05	0.000	N/A
hsa-miR-1185-1-3p	53-59	7mer-1A	-0.05	 74	-0.05	0.000	N/A
hsa-miR-4789-5p	53-59	7mer-1A	-0.01	 51	-0.01	0.000	N/A
hsa-miR-5000-3p	70-76	7mer-m8	-0.22	 92	-0.22	0.233	N/A
hsa-miR-4436a	70-76	7mer-m8	-0.14	 88	-0.14	0.233	N/A
hsa-miR-4700-3p	71-78	8mer	-0.34	 98	-0.34	0.000	N/A
hsa-miR-139-5p	74-80	7mer-1A	-0.04	 64	-0.04	0.551	< 0.1
hsa-miR-3065-5p	84-90	7mer-m8	-0.08	 76	-0.08	0.226	N/A
hsa-miR-3529-3p	85-91	7mer-m8	-0.12	 86	-0.12	0.000	N/A
hsa-miR-95-5p	99-105	7mer-m8	-0.11	 87	-0.11	0.000	N/A
hsa-miR-570-3p	104-111	8mer	-0.20	 95	-0.19	0.000	N/A
hsa-miR-1245b-3p	109-115	7mer-m8	-0.22	 95	-0.21	0.000	N/A
hsa-miR-5683	110-116	7mer-m8	-0.18	 92	-0.17	0.000	N/A
hsa-miR-6073	135-141	7mer-1A	-0.12	 73	-0.12	0.483	N/A
hsa-miR-7852-3p	136-142	7mer-m8	-0.07	 64	-0.07	0.260	N/A
hsa-miR-497-3p	143-150	8mer	-0.14	 93	-0.13	0.031	N/A
hsa-miR-6851-3p	154-160	7mer-1A	-0.22	 92	-0.21	0.000	N/A
hsa-miR-1291	154-160	7mer-1A	-0.19	 81	-0.18	0.170	N/A
hsa-miR-6775-3p	154-160	7mer-1A	-0.19	 80	-0.18	0.170	N/A
hsa-miR-1264	160-166	7mer-m8	-0.02	 45	-0.02	0.234	N/A
hsa-miR-3691-3p	162-168	7mer-m8	-0.05	 68	-0.04	0.000	N/A
hsa-miR-4480	163-170	8mer	-0.11	 83	-0.11	0.000	N/A
hsa-miR-192-3p	165-171	7mer-1A	-0.01	 28	-0.01	0.223	N/A
hsa-miR-6501-5p	166-173	8mer	-0.24	 85	-0.22	0.000	N/A
hsa-miR-744-3p	167-173	7mer-m8	-0.10	 70	-0.10	0.223	N/A
hsa-miR-4423-5p	167-173	7mer-1A	-0.08	 52	-0.08	0.000	N/A
hsa-miR-367-5p	168-175	8mer	-0.13	 81	-0.13	0.300	N/A
hsa-miR-1267	169-175	7mer-1A	-0.05	 54	-0.05	0.016	N/A
hsa-miR-4652-3p	170-176	7mer-m8	-0.02	 58	-0.02	0.000	N/A
hsa-miR-3182	171-177	7mer-m8	-0.02	 59	-0.02	0.137	N/A
hsa-miR-103a-2-5p	173-179	7mer-1A	-0.01	 21	-0.01	0.700	N/A
hsa-miR-3609	192-198	7mer-m8	-0.02	 50	-0.02	0.000	N/A
hsa-miR-548ah-5p	192-198	7mer-m8	-0.02	 48	-0.02	0.000	N/A
hsa-miR-548t-5p	193-199	7mer-m8	-0.02	 64	-0.02	0.223	N/A
hsa-miR-548az-5p	193-199	7mer-m8	-0.02	 64	-0.02	0.223	N/A
hsa-miR-181b-3p	199-205	7mer-m8	-0.05	 67	-0.05	0.322	N/A
hsa-miR-181b-2-3p	199-205	7mer-m8	-0.05	 67	-0.05	0.322	N/A
hsa-miR-4420	199-205	7mer-m8	-0.02	 53	-0.02	0.322	N/A
hsa-miR-6884-3p	202-208	7mer-m8	-0.15	 88	-0.15	0.000	N/A
hsa-miR-2116-3p	205-212	8mer	-0.30	 98	-0.29	0.000	N/A
hsa-miR-150-5p	206-212	7mer-1A	-0.07	 83	-0.07	0.122	< 0.1
hsa-miR-532-3p	206-212	7mer-1A	-0.04	 73	-0.03	0.122	N/A
hsa-miR-4713-5p	206-212	7mer-m8	-0.06	 49	-0.06	0.000	N/A
hsa-miR-197-3p	218-224	7mer-1A	-0.10	 81	-0.10	0.000	N/A
hsa-miR-5096	219-225	7mer-m8	-0.06	 88	-0.06	0.000	N/A
hsa-miR-3606-3p	222-229	8mer	-0.03	 89	-0.03	0.000	N/A
hsa-miR-513c-3p	222-229	8mer	-0.03	 89	-0.03	0.000	N/A
hsa-miR-513a-3p	222-229	8mer	-0.03	 89	-0.03	0.000	N/A
hsa-miR-5583-5p	229-236	8mer	-0.17	 96	-0.16	0.000	N/A
hsa-miR-3129-3p	229-236	8mer	-0.17	 96	-0.16	0.000	N/A
hsa-miR-656-3p	235-241	7mer-1A	-0.01	 39	-0.01	0.016	N/A
hsa-miR-6506-5p	241-248	8mer	-0.36	 99	-0.34	0.000	N/A
hsa-miR-619-5p	241-248	8mer	-0.26	 99	-0.24	0.000	N/A
hsa-miR-4314	242-249	8mer	-0.38	 98	-0.36	0.000	N/A
hsa-miR-204-3p	242-248	7mer-1A	-0.18	 97	-0.18	0.000	N/A
hsa-miR-4646-5p	242-248	7mer-1A	-0.24	 97	-0.23	0.000	N/A
hsa-miR-3192-5p	242-248	7mer-1A	-0.15	 90	-0.15	0.016	N/A
hsa-miR-4735-5p	248-255	8mer	-0.14	 95	-0.13	0.000	N/A
hsa-miR-576-5p	250-257	8mer	-0.03	 75	-0.03	0.031	N/A
hsa-miR-4263	251-257	7mer-1A	-0.05	 81	-0.05	0.000	N/A
hsa-miR-4477a	259-265	7mer-m8	-0.02	 64	-0.02	0.000	N/A
hsa-miR-620	276-282	7mer-m8	-0.04	 59	-0.04	0.000	N/A
hsa-miR-1270	276-282	7mer-m8	-0.02	 41	-0.02	0.000	N/A
hsa-miR-4683	276-282	7mer-1A	-0.01	 27	-0.01	0.000	N/A
hsa-miR-7847-3p	278-284	7mer-1A	-0.09	 58	-0.09	0.000	N/A
