miRNA,Position in the UTR,seed match,context++ score,context++ score percentile,weighted context++ score,conserved branch length,Pct
hsa-miR-5009-3p,824-830,7mer-m8,"-0,02",47,"-0,02",0,N/A
hsa-miR-4512,828-834,7mer-m8,"-0,26",95,"-0,24",0,N/A
hsa-miR-1226-5p,830-836,7mer-m8,"-0,17",88,"-0,16",0,N/A
hsa-miR-4721,830-836,7mer-1A,"-0,21",85,"-0,19",0,N/A
hsa-miR-3616-3p,830-836,7mer-1A,"-0,23",85,"-0,21",0,N/A
hsa-miR-593-5p,840-846,7mer-m8,"-0,14",68,"-0,13",0,N/A
hsa-miR-4423-3p,842-849,8mer,"-0,23",90,"-0,21","0,013",N/A
hsa-miR-3622a-5p,842-848,7mer-1A,"-0,08",75,"-0,07",0,N/A
hsa-miR-5582-5p,842-848,7mer-1A,"-0,06",56,"-0,05",0,N/A
hsa-miR-574-3p,854-860,7mer-1A,"-0,31",89,"-0,28",0,N/A
hsa-miR-6844,860-866,7mer-m8,"-0,08",81,"-0,07",0,N/A
hsa-miR-452-3p,864-870,7mer-1A,"-0,09",75,"-0,08",0,N/A
hsa-miR-1298-5p,868-874,7mer-1A,"-0,1",87,"-0,09","0,174",N/A
hsa-miR-539-5p,879-885,7mer-1A,"-0,01",46,"-0,01","0,054",N/A
hsa-miR-3681-3p,884-891,8mer,"-0,26",96,"-0,23","0,92",< 0.1
hsa-miR-128-3p,884-891,8mer,"-0,22",95,"-0,2","0,92",< 0.1
hsa-miR-216a-3p,884-891,8mer,"-0,22",94,"-0,2","0,92",< 0.1
hsa-miR-27b-3p,885-892,8mer,"-0,13",86,"-0,12","0,779",< 0.1
hsa-miR-27a-3p,885-892,8mer,"-0,13",86,"-0,12","0,779",< 0.1
hsa-miR-513a-5p,886-892,7mer-1A,"-0,09",78,"-0,08","0,013",N/A
hsa-miR-5695,896-902,7mer-m8,"-0,09",74,"-0,08",0,N/A
hsa-miR-6792-3p,898-905,8mer,"-0,22",91,"-0,2",0,N/A
hsa-miR-4691-5p,898-905,8mer,"-0,14",88,"-0,13",0,N/A
hsa-miR-6749-3p,899-905,7mer-1A,"-0,05",52,"-0,05",0,N/A
hsa-miR-670-3p,900-906,7mer-1A,"-0,04",51,"-0,03","0,18",N/A
hsa-miR-1238-3p,900-906,7mer-1A,"-0,01",50,"-0,01",0,N/A
hsa-miR-3124-3p,901-907,7mer-m8,"-0,02",37,"-0,02",0,N/A
hsa-miR-660-3p,906-912,7mer-1A,"-0,15",84,"-0,14","0,048",N/A
hsa-miR-5193,906-912,7mer-1A,"-0,15",81,"-0,14",0,N/A
hsa-miR-6792-3p,907-913,7mer-1A,"-0,17",83,"-0,16",0,N/A
hsa-miR-4691-5p,907-913,7mer-1A,"-0,11",82,"-0,1",0,N/A
hsa-miR-6749-3p,907-913,7mer-1A,"-0,1",66,"-0,09",0,N/A
hsa-miR-4326,908-914,7mer-m8,"-0,22",91,"-0,2",0,N/A
hsa-miR-218-1-3p,910-916,7mer-m8,"-0,19",86,"-0,17","0,048",N/A
hsa-miR-203a-5p,911-918,8mer,"-0,27",94,"-0,25",0,N/A
hsa-miR-1273g-5p,912-918,7mer-1A,"-0,02",43,"-0,02",0,N/A
hsa-miR-7114-5p,914-920,7mer-1A,"-0,12",80,"-0,1",0,N/A
hsa-miR-134-3p,914-920,7mer-1A,"-0,12",78,"-0,11","0,389",N/A
hsa-miR-3120-5p,917-924,8mer,"-0,22",95,"-0,2",0,N/A
hsa-miR-6888-3p,918-924,7mer-m8,"-0,06",67,"-0,06",0,N/A
hsa-miR-6780a-3p,921-928,8mer,"-0,3",97,"-0,27",0,N/A
hsa-miR-6881-3p,922-928,7mer-1A,"-0,11",79,"-0,1",0,N/A
hsa-miR-7111-3p,922-928,7mer-1A,"-0,09",76,"-0,08",0,N/A
hsa-miR-889-3p,928-934,7mer-1A,"-0,01",47,"-0,01","0,054",N/A
hsa-miR-6873-5p,935-941,7mer-m8,"-0,15",80,"-0,13",0,N/A
hsa-miR-6758-5p,937-943,7mer-m8,"-0,12",83,"-0,11",0,N/A
hsa-miR-6856-5p,937-943,7mer-m8,"-0,09",78,"-0,08",0,N/A
hsa-miR-4756-3p,939-945,7mer-1A,"-0,1",88,"-0,09",0,N/A
hsa-miR-3919,939-945,7mer-1A,"-0,01",40,"-0,01",0,N/A
hsa-miR-2115-3p,941-947,7mer-1A,"-0,07",71,"-0,07",0,N/A
hsa-miR-361-5p,941-947,7mer-m8,"-0,04",40,"-0,04","0,041",N/A
hsa-miR-3074-3p,942-948,7mer-m8,"-0,02",59,"-0,02",0,N/A
hsa-miR-587,946-952,7mer-m8,"-0,08",77,"-0,07","0,013",N/A
hsa-miR-3614-3p,955-961,7mer-m8,"-0,31",97,"-0,28",0,N/A
hsa-miR-7109-3p,957-963,7mer-1A,"-0,15",86,"-0,13",0,N/A
hsa-miR-4699-3p,964-970,7mer-m8,"-0,03",73,"-0,03",0,N/A
hsa-miR-29a-5p,967-974,8mer,"-0,14",88,"-0,12",0,N/A
hsa-miR-3920,968-974,7mer-1A,"-0,15",88,"-0,14",0,N/A
hsa-miR-4714-5p,970-976,7mer-m8,"-0,17",89,"-0,16",0,N/A
hsa-miR-3117-5p,974-980,7mer-1A,"-0,14",78,"-0,12",0,N/A
hsa-miR-5190,977-983,7mer-m8,"-0,19",94,"-0,17",0,N/A
hsa-miR-4645-3p,980-986,7mer-1A,"-0,09",62,"-0,09",0,N/A
hsa-miR-3660,981-988,8mer,"-0,31",97,"-0,28","0,013",N/A
hsa-miR-4526,981-988,8mer,"-0,25",97,"-0,23","0,013",N/A
hsa-miR-6730-3p,982-988,7mer-1A,"-0,11",84,"-0,1",0,N/A
hsa-miR-6719-3p,982-988,7mer-1A,"-0,03",57,"-0,03",0,N/A
hsa-miR-30c-2-3p,998-1004,7mer-1A,"-0,18",92,"-0,17",0,N/A
hsa-miR-6788-5p,998-1004,7mer-1A,"-0,18",92,"-0,17",0,N/A
hsa-miR-30c-1-3p,998-1004,7mer-1A,"-0,18",92,"-0,17",0,N/A
hsa-miR-887-5p,998-1004,7mer-m8,"-0,12",76,"-0,11",0,N/A
hsa-miR-30b-3p,998-1004,7mer-1A,"-0,12",71,"-0,11","0,048",N/A
hsa-miR-6779-5p,998-1004,7mer-1A,"-0,12",69,"-0,11","0,048",N/A
hsa-miR-3689a-3p,998-1004,7mer-1A,"-0,11",69,"-0,1","0,048",N/A
hsa-miR-3689c,998-1004,7mer-1A,"-0,11",68,"-0,1","0,048",N/A
hsa-miR-3689b-3p,998-1004,7mer-1A,"-0,11",68,"-0,1","0,048",N/A
hsa-miR-1273h-5p,998-1004,7mer-1A,"-0,12",67,"-0,11","0,048",N/A
hsa-miR-6780a-5p,998-1004,7mer-1A,"-0,1",64,"-0,09","0,048",N/A
hsa-miR-635,1000-1006,7mer-1A,"-0,12",80,"-0,11","0,013",N/A
hsa-miR-6774-5p,1000-1006,7mer-1A,"-0,08",73,"-0,07","0,013",N/A
hsa-miR-127-3p,1005-1011,7mer-1A,"-0,28",84,"-0,25","0,052",N/A
hsa-miR-8075,1011-1017,7mer-1A,"-0,09",58,"-0,08",0,N/A
hsa-miR-4728-3p,1012-1018,7mer-m8,"-0,13",83,"-0,12",0,N/A
hsa-miR-5680,1016-1022,7mer-m8,"-0,02",68,"-0,02",0,N/A
hsa-miR-6721-5p,1021-1027,7mer-1A,"-0,15",75,"-0,13",0,N/A
hsa-miR-2392,1025-1032,8mer,"-0,27",96,"-0,25","0,013",N/A
hsa-miR-1265,1026-1032,7mer-1A,"-0,08",78,"-0,07","0,013",N/A
hsa-miR-4789-3p,1034-1040,7mer-m8,"-0,03",63,"-0,03",0,N/A
hsa-miR-642b-3p,1035-1041,7mer-m8,"-0,13",87,"-0,12",0,N/A
hsa-miR-642a-3p,1035-1041,7mer-m8,"-0,13",86,"-0,12",0,N/A
hsa-miR-1910-5p,1047-1054,8mer,"-0,31",96,"-0,28",0,N/A
hsa-miR-455-3p.1,1048-1054,7mer-1A,"-0,13",83,"-0,12","0,013",< 0.1
hsa-miR-138-1-3p,1053-1059,7mer-m8,"-0,03",79,"-0,03",0,N/A
hsa-miR-5690,1056-1062,7mer-m8,"-0,17",92,"-0,15",0,N/A
hsa-miR-4267,1058-1064,7mer-1A,"-0,04",66,"-0,03",0,N/A
hsa-miR-6512-3p,1059-1065,7mer-1A,"-0,06",60,"-0,06",0,N/A
hsa-miR-6720-5p,1059-1065,7mer-1A,"-0,06",59,"-0,06",0,N/A
hsa-miR-3180-5p,1060-1066,7mer-1A,"-0,07",74,"-0,06",0,N/A
hsa-miR-29b-2-5p,1063-1069,7mer-m8,"-0,03",67,"-0,03",0,N/A
hsa-miR-29b-1-5p,1064-1070,7mer-m8,"-0,02",43,"-0,02",0,N/A
hsa-miR-483-3p.1,1069-1075,7mer-1A,"-0,07",77,"-0,06","0,666",N/A
hsa-miR-4684-5p,1073-1080,8mer,"-0,21",95,"-0,19",0,N/A
hsa-miR-6809-3p,1075-1081,7mer-1A,"-0,06",77,"-0,05",0,N/A
hsa-miR-4768-5p,1075-1081,7mer-1A,"-0,01",38,"-0,01",0,N/A
hsa-miR-6833-3p,1075-1081,7mer-1A,"-0,01",38,"-0,01",0,N/A
hsa-miR-3679-3p,1086-1093,8mer,"-0,36",95,"-0,31",0,N/A
hsa-miR-4446-5p,1088-1094,7mer-1A,"-0,1",82,"-0,09",0,N/A
hsa-miR-6805-3p,1097-1103,7mer-1A,"-0,14",85,"-0,12",0,N/A
hsa-miR-5691,1097-1103,7mer-1A,"-0,1",76,"-0,09",0,N/A
hsa-miR-6757-3p,1099-1110,non-canonical,N/A,N/A,N/A,0,N/A
hsa-miR-6757-3p,1099-1110,non-canonical,N/A,N/A,N/A,0,N/A
hsa-miR-3922-3p,1103-1110,8mer,"-0,34",98,"-0,3",0,N/A
hsa-miR-3176,1103-1110,8mer,"-0,35",98,"-0,3",0,N/A
hsa-miR-3190-5p,1104-1110,7mer-1A,"-0,18",90,"-0,16",0,N/A
hsa-miR-4778-5p,1107-1113,7mer-1A,"-0,01",33,"-0,01",0,N/A
hsa-miR-26a-1-3p,1108-1115,8mer,"-0,11",78,"-0,09","0,363",N/A
hsa-miR-26a-2-3p,1108-1115,8mer,"-0,1",76,"-0,09","0,363",N/A
hsa-miR-6731-3p,1109-1115,7mer-1A,"-0,07",73,"-0,06",0,N/A
hsa-miR-4482-3p,1110-1116,7mer-m8,"-0,02",51,"-0,02",0,N/A
hsa-miR-5088-3p,1113-1120,8mer,"-0,32",97,"-0,27",0,N/A
hsa-miR-4685-3p,1115-1121,7mer-m8,"-0,21",95,"-0,18",0,N/A
hsa-miR-4287,1115-1121,7mer-m8,"-0,16",92,"-0,14",0,N/A
hsa-miR-934,1120-1126,7mer-m8,"-0,16",74,"-0,14","0,013",N/A
hsa-miR-622,1123-1129,7mer-1A,"-0,08",71,"-0,07","0,013",N/A
hsa-miR-4264,1124-1130,7mer-m8,"-0,21",93,"-0,18",0,N/A
hsa-miR-512-5p,1126-1132,7mer-1A,"-0,03",58,"-0,02",0,N/A
hsa-miR-510-5p,1126-1132,7mer-1A,"-0,03",47,"-0,03",0,N/A
hsa-miR-6744-3p,1147-1153,7mer-m8,"-0,07",79,"-0,06","0,048",N/A
hsa-miR-4757-5p,1147-1153,7mer-m8,"-0,11",78,"-0,1","0,048",N/A
hsa-miR-3142,1149-1155,7mer-1A,"-0,14",86,"-0,12",0,N/A
hsa-miR-1245b-5p,1149-1155,7mer-1A,"-0,1",81,"-0,09",0,N/A
hsa-miR-1295b-3p,1150-1156,7mer-m8,"-0,17",81,"-0,15",0,N/A
hsa-miR-4777-5p,1155-1161,7mer-m8,"-0,03",54,"-0,02",0,N/A
hsa-miR-6730-5p,1165-1171,7mer-m8,"-0,02",42,"-0,02",0,N/A
hsa-miR-6778-3p,1173-1180,8mer,"-0,23",91,"-0,19",0,N/A
hsa-miR-6836-3p,1174-1180,7mer-m8,"-0,07",67,"-0,06",0,N/A
hsa-miR-6829-3p,1174-1180,7mer-1A,"-0,05",65,"-0,05",0,N/A
hsa-miR-6791-3p,1174-1180,7mer-1A,"-0,02",35,"-0,01",0,N/A
hsa-miR-6747-3p,1176-1182,7mer-m8,"-0,06",65,"-0,05",0,N/A
hsa-miR-6752-3p,1177-1184,8mer,"-0,28",93,"-0,24",0,N/A
hsa-miR-670-5p,1179-1185,7mer-1A,"-0,04",70,"-0,04",0,N/A
hsa-miR-3938,1180-1186,7mer-m8,"-0,02",25,"-0,02","0,048",N/A
hsa-miR-616-3p,1184-1190,7mer-1A,"-0,03",41,"-0,03","0,013",N/A
hsa-miR-513b-3p,1186-1192,7mer-m8,"-0,07",70,"-0,06",0,N/A
hsa-miR-6747-3p,1196-1202,7mer-m8,"-0,15",85,"-0,13","0,363",N/A
hsa-miR-6752-3p,1197-1204,8mer,"-0,33",95,"-0,28",0,N/A
hsa-miR-670-5p,1199-1205,7mer-1A,"-0,1",86,"-0,08","0,363",N/A
hsa-miR-3938,1200-1206,7mer-m8,"-0,04",46,"-0,03",0,N/A
hsa-miR-4724-5p,1213-1219,7mer-m8,"-0,04",77,"-0,04",0,N/A
hsa-miR-5000-3p,1222-1229,8mer,"-0,05",54,"-0,05",0,N/A
hsa-miR-4436a,1222-1229,8mer,"-0,03",54,"-0,03",0,N/A
hsa-miR-643,1229-1235,7mer-m8,"-0,02",27,"-0,02","0,013",N/A
hsa-miR-502-5p,1232-1238,7mer-1A,"-0,02",53,"-0,02","0,054",N/A
hsa-miR-3124-3p,1234-1241,8mer,"-0,07",74,"-0,06",0,N/A
hsa-miR-130b-5p,1236-1242,7mer-m8,"-0,03",64,"-0,03","0,048",N/A
hsa-miR-2682-3p,1238-1245,8mer,"-0,25",95,"-0,22",0,N/A
hsa-miR-6781-3p,1238-1245,8mer,"-0,23",94,"-0,19",0,N/A
hsa-miR-5001-3p,1241-1247,7mer-m8,"-0,12",81,"-0,11",0,N/A
hsa-miR-3194-3p,1243-1250,8mer,"-0,18",89,"-0,15",0,N/A
hsa-miR-6805-3p,1244-1250,7mer-m8,"-0,03",51,"-0,03",0,N/A
hsa-miR-5691,1244-1250,7mer-m8,"-0,03",48,"-0,03",0,N/A
hsa-miR-6893-3p,1247-1253,7mer-1A,"-0,04",51,"-0,04","0,171",N/A
hsa-miR-370-3p,1247-1253,7mer-1A,"-0,01",32,"-0,01","0,171",N/A
hsa-miR-1976,1248-1254,7mer-m8,"-0,09",82,"-0,08",0,N/A
hsa-miR-4317,1257-1263,7mer-m8,"-0,14",82,"-0,12",0,N/A
hsa-miR-3143,1260-1267,8mer,"-0,03",62,"-0,03",0,N/A
hsa-miR-543,1260-1266,7mer-1A,"-0,01",53,"-0,01","0,423",N/A
hsa-miR-302c-5p,1261-1267,7mer-m8,"-0,02",58,"-0,02",0,N/A
hsa-miR-676-3p,1267-1273,7mer-1A,"-0,17",88,"-0,15","0,013",N/A
hsa-miR-2355-3p,1267-1273,7mer-m8,"-0,14",76,"-0,12","0,27",N/A
hsa-miR-382-5p,1270-1276,7mer-m8,"-0,02",57,"-0,02","0,921",N/A
hsa-miR-3163,1276-1282,7mer-1A,"-0,01",45,"-0,01",0,N/A
hsa-miR-340-5p,1277-1283,7mer-1A,"-0,01",51,"-0,01","1,139",N/A
hsa-miR-548au-3p,1282-1288,7mer-m8,"-0,19",88,"-0,16",0,N/A
hsa-miR-6721-5p,1284-1290,7mer-1A,"-0,18",81,"-0,16",0,N/A
hsa-miR-1285-3p,1285-1291,7mer-m8,"-0,19",90,"-0,16","0,013",N/A
hsa-miR-612,1285-1291,7mer-m8,"-0,1",87,"-0,09","0,013",N/A
hsa-miR-5189-5p,1285-1291,7mer-m8,"-0,14",86,"-0,13","0,013",N/A
hsa-miR-6860,1285-1291,7mer-m8,"-0,16",86,"-0,14","0,013",N/A
hsa-miR-3187-5p,1285-1291,7mer-m8,"-0,14",83,"-0,12","0,013",N/A
hsa-miR-200c-3p,1289-1295,7mer-m8,"-0,02",52,"-0,02","1,707","0,14"
hsa-miR-200b-3p,1289-1295,7mer-m8,"-0,02",52,"-0,02","1,707","0,14"
hsa-miR-429,1289-1295,7mer-m8,"-0,02",52,"-0,02","1,707","0,14"
hsa-miR-873-5p.1,1295-1301,7mer-1A,"-0,01",56,"-0,01","1,697",N/A
hsa-miR-514b-3p,1306-1312,7mer-1A,"-0,01",32,"-0,01","0,013",N/A
hsa-miR-514a-3p,1306-1312,7mer-1A,"-0,01",32,"-0,01","0,013",N/A
hsa-miR-6782-3p,1309-1315,7mer-m8,"-0,02",44,"-0,02",0,N/A
hsa-miR-6793-3p,1314-1321,8mer,"-0,15",89,"-0,13",0,N/A
hsa-miR-4713-5p,1318-1324,7mer-1A,"-0,11",68,"-0,09",0,N/A
hsa-miR-629-3p,1318-1324,7mer-m8,"-0,02",64,"-0,02",0,N/A
hsa-miR-6867-3p,1318-1324,7mer-1A,"-0,06",61,"-0,05",0,N/A
hsa-miR-630,1321-1328,8mer,"-0,03",31,"-0,03","0,013",N/A
hsa-miR-643,1324-1330,7mer-m8,"-0,02",27,"-0,02","0,054",N/A
hsa-miR-3613-3p,1343-1349,7mer-1A,"-0,01",26,"-0,01",0,N/A
hsa-miR-542-3p,1356-1362,7mer-1A,"-0,07",63,"-0,06","0,14",N/A
hsa-miR-4504,1356-1362,7mer-1A,"-0,06",58,"-0,05","0,013",N/A
hsa-miR-4501,1357-1363,7mer-m8,"-0,06",76,"-0,05",0,N/A
hsa-miR-8066,1358-1365,8mer,"-0,03",51,"-0,03",0,N/A
hsa-miR-1271-3p,1365-1371,7mer-1A,"-0,12",62,"-0,1","0,013",N/A
hsa-miR-550b-2-5p,1365-1371,7mer-m8,"-0,05",56,"-0,05",0,N/A
hsa-miR-550a-3-5p,1365-1371,7mer-1A,"-0,06",43,"-0,05","0,013",N/A
hsa-miR-550a-5p,1365-1371,7mer-1A,"-0,06",42,"-0,05","0,013",N/A
hsa-miR-4528,1380-1386,7mer-m8,"-0,02",35,"-0,02",0,N/A
hsa-miR-885-5p,1382-1388,7mer-1A,"-0,01",35,"-0,01","0,297",N/A
hsa-miR-3175,1390-1396,7mer-m8,"-0,19",81,"-0,16",0,N/A
hsa-miR-3179,1393-1400,8mer,"-0,31",96,"-0,26",0,N/A
hsa-miR-6864-5p,1394-1400,7mer-m8,"-0,14",80,"-0,12",0,N/A
hsa-miR-7515,1394-1400,7mer-1A,"-0,11",72,"-0,1",0,N/A
hsa-miR-7159-3p,1408-1414,7mer-m8,"-0,02",57,"-0,02",0,N/A
hsa-miR-3912-5p,1420-1426,7mer-1A,"-0,07",70,"-0,06",0,N/A
hsa-miR-345-5p,1426-1432,7mer-1A,"-0,06",82,"-0,06","0,302",N/A
hsa-miR-4256,1427-1433,7mer-1A,"-0,16",83,"-0,14",0,N/A
hsa-miR-4762-3p,1428-1434,7mer-1A,"-0,01",35,"-0,01",0,N/A
hsa-miR-302a-5p,1457-1463,7mer-1A,"-0,01",50,"-0,01","0,245",N/A
hsa-miR-200b-5p,1459-1465,7mer-1A,"-0,01",46,"-0,01","0,048",N/A
hsa-miR-200a-5p,1459-1465,7mer-1A,"-0,01",45,"-0,01","0,048",N/A
hsa-miR-6716-5p,1465-1471,7mer-1A,"-0,15",77,"-0,13",0,N/A
hsa-miR-450a-1-3p,1466-1472,7mer-m8,"-0,08",71,"-0,07","0,048",N/A
hsa-miR-379-5p,1473-1479,7mer-m8,"-0,23",91,"-0,2","0,159",N/A
hsa-miR-3529-5p,1473-1479,7mer-m8,"-0,21",89,"-0,18","0,159",N/A
hsa-miR-3132,1474-1480,7mer-m8,"-0,19",73,"-0,16","0,054",N/A
hsa-miR-197-5p,1474-1480,7mer-m8,"-0,16",66,"-0,14","0,054",N/A
hsa-miR-140-3p.2,1474-1485,non-canonical,N/A,N/A,N/A,0,N/A
hsa-miR-140-3p.2,1474-1485,non-canonical,N/A,N/A,N/A,0,N/A
hsa-miR-6755-5p,1475-1481,7mer-m8,"-0,16",75,"-0,14",0,N/A
hsa-miR-6768-5p,1479-1485,7mer-m8,"-0,07",79,"-0,06",0,N/A
hsa-miR-642a-3p,1481-1487,7mer-1A,"-0,07",72,"-0,06",0,N/A
hsa-miR-642b-3p,1481-1487,7mer-1A,"-0,07",72,"-0,06",0,N/A
hsa-miR-425-5p,1482-1489,8mer,"-0,2",94,"-0,18","0,12",< 0.1
hsa-miR-31-3p,1486-1492,7mer-1A,"-0,04",54,"-0,04","0,363",N/A
hsa-miR-606,1492-1498,7mer-m8,"-0,02",38,"-0,02","0,013",N/A
hsa-miR-7153-5p,1495-1502,8mer,"-0,23",94,"-0,2","1,062",< 0.1
hsa-miR-146a-5p,1495-1502,8mer,"-0,21",93,"-0,19","1,062",< 0.1
hsa-miR-146b-5p,1495-1502,8mer,"-0,21",92,"-0,18","1,062",< 0.1
hsa-miR-589-5p,1496-1502,7mer-1A,"-0,08",76,"-0,07","0,395",N/A
hsa-miR-4251,1497-1504,8mer,"-0,09",81,"-0,08",0,N/A
hsa-miR-4329,1498-1504,7mer-1A,"-0,06",79,"-0,06",0,N/A
hsa-miR-6761-5p,1498-1504,7mer-1A,"-0,05",71,"-0,05",0,N/A
hsa-miR-4653-5p,1499-1505,7mer-m8,"-0,15",90,"-0,13",0,N/A
hsa-miR-3921,1499-1505,7mer-m8,"-0,15",90,"-0,13",0,N/A
hsa-miR-4714-5p,1500-1506,7mer-m8,"-0,11",78,"-0,09",0,N/A
hsa-miR-5688,1507-1513,7mer-m8,"-0,04",88,"-0,04","0,12",N/A
hsa-miR-495-3p,1507-1513,7mer-m8,"-0,03",88,"-0,03","0,12",N/A
hsa-miR-501-5p,1515-1521,7mer-m8,"-0,05",61,"-0,04","0,048",N/A
hsa-miR-4713-3p,1518-1525,8mer,"-0,42",96,"-0,36",0,N/A
hsa-miR-450b-3p,1519-1525,7mer-m8,"-0,18",92,"-0,16","0,054",N/A
hsa-miR-769-3p,1519-1525,7mer-m8,"-0,13",88,"-0,11","0,054",N/A
hsa-miR-638,1519-1525,7mer-1A,"-0,13",71,"-0,12","0,048",N/A
hsa-miR-4654,1520-1526,7mer-m8,"-0,17",87,"-0,15","0,013",N/A
hsa-miR-4769-5p,1520-1526,7mer-m8,"-0,12",86,"-0,11","0,013",N/A
hsa-miR-4796-3p,1523-1529,7mer-m8,"-0,03",74,"-0,03",0,N/A
hsa-miR-520h,1524-1531,8mer,"-0,1",90,"-0,08","0,054",N/A
hsa-miR-520g-3p,1524-1531,8mer,"-0,1",90,"-0,08","0,054",N/A
hsa-miR-3973,1525-1531,7mer-1A,"-0,03",56,"-0,03",0,N/A
hsa-miR-4470,1534-1540,7mer-1A,"-0,01",34,"-0,01",0,N/A
hsa-miR-182-5p,1535-1541,7mer-m8,"-0,11",67,"-0,1","0,644",< 0.1
hsa-miR-890,1538-1544,7mer-1A,"-0,12",81,"-0,1","0,054",N/A
hsa-miR-1278,1541-1547,7mer-1A,"-0,09",69,"-0,08","0,013",N/A
hsa-miR-4259,1548-1554,7mer-1A,"-0,12",71,"-0,1",0,N/A
hsa-miR-4715-5p,1548-1554,7mer-1A,"-0,08",71,"-0,07","0,048",N/A
hsa-miR-4703-3p,1549-1555,7mer-m8,"-0,13",77,"-0,12",0,N/A
hsa-miR-196a-5p,1551-1557,7mer-m8,"-0,19",87,"-0,16","0,361",< 0.1
hsa-miR-196b-5p,1551-1557,7mer-m8,"-0,19",87,"-0,16","0,361",< 0.1
hsa-miR-624-3p,1554-1560,7mer-m8,"-0,14",87,"-0,12","0,013",N/A
hsa-miR-21-3p,1562-1568,7mer-m8,"-0,02",22,"-0,02",0,N/A
hsa-miR-3591-3p,1562-1568,7mer-m8,"-0,02",18,"-0,02",0,N/A
hsa-miR-628-5p,1568-1574,7mer-1A,"-0,01",35,"-0,01","0,048",N/A
hsa-miR-548au-3p,1573-1579,7mer-m8,"-0,08",68,"-0,07",0,N/A
hsa-miR-486-3p,1575-1581,7mer-m8,"-0,24",82,"-0,21","0,048",N/A
hsa-miR-6743-5p,1576-1583,8mer,"-0,28",94,"-0,25",0,N/A
hsa-miR-4688,1576-1583,8mer,"-0,28",93,"-0,24",0,N/A
hsa-miR-6789-5p,1577-1583,7mer-m8,"-0,18",83,"-0,16",0,N/A
hsa-miR-6813-5p,1577-1583,7mer-1A,"-0,14",79,"-0,12",0,N/A
hsa-miR-6085,1577-1583,7mer-1A,"-0,15",78,"-0,13",0,N/A
hsa-miR-222-5p,1581-1588,8mer,"-0,08",66,"-0,07",0,N/A
hsa-miR-936,1581-1587,7mer-1A,"-0,09",62,"-0,07","0,013",N/A
hsa-miR-199b-3p,1581-1587,7mer-1A,"-0,05",56,"-0,05","0,032",< 0.1
hsa-miR-199a-3p,1581-1587,7mer-1A,"-0,05",56,"-0,05","0,032",< 0.1
hsa-miR-3129-5p,1581-1587,7mer-1A,"-0,01",33,"-0,01","0,032",< 0.1
hsa-miR-4687-3p,1587-1593,7mer-m8,"-0,14",84,"-0,12",0,N/A
hsa-miR-4741,1588-1594,7mer-m8,"-0,23",94,"-0,2",0,N/A
hsa-miR-4675,1588-1594,7mer-m8,"-0,12",90,"-0,11",0,N/A
hsa-miR-4446-3p,1589-1595,7mer-m8,"-0,17",83,"-0,15","0,013",N/A
hsa-miR-759,1601-1607,7mer-1A,"-0,06",81,"-0,05","0,277",N/A
hsa-miR-892c-5p,1603-1609,7mer-m8,"-0,03",47,"-0,02","0,054",N/A
hsa-miR-382-3p,1606-1612,7mer-m8,"-0,14",91,"-0,12","0,159",N/A
hsa-miR-3136-3p,1613-1619,7mer-m8,"-0,27",95,"-0,23",0,N/A
hsa-miR-7155-3p,1613-1619,7mer-m8,"-0,26",95,"-0,23",0,N/A
hsa-miR-5008-5p,1615-1622,8mer,"-0,38",97,"-0,32",0,N/A
hsa-miR-6089,1616-1622,7mer-1A,"-0,11",86,"-0,09",0,N/A
hsa-miR-4316,1617-1624,8mer,"-0,13",85,"-0,11",0,N/A
hsa-miR-1294,1618-1624,7mer-1A,"-0,06",58,"-0,05","0,013",N/A
hsa-miR-4677-3p,1619-1626,8mer,"-0,06",65,"-0,05","0,048",N/A
hsa-miR-4679,1620-1626,7mer-1A,"-0,01",28,"-0,01",0,N/A
hsa-miR-3182,1622-1628,7mer-m8,"-0,02",59,"-0,02","0,245",N/A
hsa-miR-5591-5p,1627-1633,7mer-m8,"-0,23",88,"-0,19","0,013",N/A
hsa-miR-6726-5p,1627-1633,7mer-m8,"-0,23",88,"-0,2","0,013",N/A
hsa-miR-4300,1627-1633,7mer-m8,"-0,21",87,"-0,19","0,013",N/A
hsa-miR-920,1627-1633,7mer-m8,"-0,16",86,"-0,14","0,013",N/A
hsa-miR-3162-5p,1629-1636,8mer,"-0,29",92,"-0,25",0,N/A
hsa-miR-1321,1629-1635,7mer-1A,"-0,19",85,"-0,16",0,N/A
hsa-miR-6760-5p,1629-1635,7mer-1A,"-0,13",81,"-0,11",0,N/A
hsa-miR-4739,1629-1635,7mer-1A,"-0,14",76,"-0,12",0,N/A
hsa-miR-4756-5p,1629-1635,7mer-1A,"-0,11",72,"-0,1",0,N/A
hsa-miR-2909,1631-1637,7mer-1A,"-0,03",60,"-0,03",0,N/A
hsa-miR-645,1637-1643,7mer-m8,"-0,16",78,"-0,13","0,013",N/A
hsa-miR-5571-3p,1639-1646,8mer,"-0,14",88,"-0,12",0,N/A
hsa-miR-7975,1640-1646,7mer-1A,"-0,04",54,"-0,03",0,N/A
hsa-miR-384,1640-1646,7mer-m8,"-0,02",43,"-0,02","1,782",N/A
hsa-miR-7853-5p,1659-1665,7mer-1A,"-0,01",48,"-0,01","0,408",N/A
